ReviewTitle,ReviewBody,ReviewStar,Product
"1 Star ⭐ for product package box from manufacturer📦 and handling
","The headphones are quite good at price which I brought, but the packing box 📦 is worst 👎 it got fully damaged when I received please see the images which I attacked,  sounds 🔊 quality is ok and finished also but not best 👍💯 over all  I give 3star for this product but for package manufacturing and handling 1star ⭐
",2,boAt Rockerz 255
"Bad Quality.
","This was not a genuine product very upset with amazon..same product with same sound quality i had seen on road worth Rs 499.....i always buy from amazon..but this time amazon just break my trust...i only use JBL earphones..so in know the sound quality ...please don't do this.
",1,JBL T110BT
"Sound is not good
","Very cheap product frnds don't buy
",2,JBL T110BT
"Pls improve its reaction with sweat
","Well excellent sound quality and provides good noise cancellation .. but when the controller catches the sweat the buttons do not function properly.It's just a month and this has happened twice now so if these people are mentioning that sport earphones they pls don't fall for that.. its just useful for normal and just be thoughtful.
",2,boAt Rockerz 255
"Good for a budget earphone for daily use
","I liked the products life and quality. There are a few connection issues at times perhaps but it's minor compared to the price and the quality. I'm pretty happy with my purchase.
",5,boAt Rockerz 255
"Dont buy this.
","Its a cheap chinese product. No bass at all. Volume is slow even on high sound.
",1,Flybot Wave
"Very gud wireless headphones in this price range
","Very gud wireless headphones in this price range
",4,boAt Rockerz 255
"Bad battery life slow recharges
","Best earphone but have a pretty worst battery life and slow recharges and have a problem in noise cancellationOther wise this product has made up to the mark
",5,boAt Rockerz 255
"There are other better options then this one ..
","Battery is good but range limit is bad and after some time you ear some sort of disturbance while playing anything ..
",1,boAt Rockerz 255
"good to buy.
","nice.
",4,boAt Rockerz 255
"Don't buy it,
","Sound decreases after 1 or 2 months
",1,Sennheiser CX 6.0BT
"Headphones not working
","It's not working for one ear.. is there any service center access for online services?
",2,boAt Rockerz 255
"Worst product from jbl
","Worst product from jbl. It sounds like 4” Radio speaker. Instead of buying this for 2k rupees buy i6s Bluetooth and use your older jbl or sony wired headset on it. It sounds awesome.Hence I returned it.Now im happy with my i6s
",1,JBL T110BT
"Asm
","Quality so good
",4,JBL T205BT
"Nice
","Nice
",5,JBL T205BT
"Good earphones
","Overall, I am satisfied with the sound quality and design of this earphone. The only thing which I didn't like was that the wires are very thin and am just hoping that they don't get tear up.
",5,Sennheiser CX 6.0BT
"Very bad this  2 hour working
","Very bad this  2 hour working
",3,boAt Rockerz 255
"Three Stars
","Not recommend it. Try the cheap one not worth of this price.
",3,Sennheiser CX 6.0BT
"Great sound clarity
","Great sound clarity, loud and great bass.Best noise isolation, even if you are travelling, the voice is so clear.Best ever headphone in this range.
",5,Sennheiser CX 6.0BT
"Awesome sound quality n easy to use
","Very happy with the product
",5,JBL T110BT
"Max volume came down in 3 days
","I tested these on full volume on day one. It was too loud but crystal clear which met my expectations. But on day 3 that mox volume came down to a moderate level. I did read about the same in one ef the reviews but didn't expect it to happen so soon. Sounds and build quality is good
",4,boAt Rockerz 255
"Good
","Better
",3,JBL T205BT
"Want to replace
","Good but 1 yr warranty now right speaker not working
",3,boAt Rockerz 255
"Good
","sounds quality good.but too costly.If you want in less money go for soundmagic it's value for money.
",3,Sennheiser CX 6.0BT
"Unsatisfied
","Not so good
",3,boAt Rockerz 255
"Sound quality is good
","Amezing sound quality.  But disconnect on the bike.
",5,boAt Rockerz 255
"only good for some.....!!
","I have just bought it and hardly used it 3 times...Now these has started to give a ""hissing"" sound after connecting it to my device...And main thing is it is not connecting itself to my PC I have tried a lot..but these are not good..Such a bad thing by amazon India ...I have never expected this thing from amazon...Please don't buy these stufs from amazon....So bad...😔😭
",3,boAt Rockerz 255
"Nice with everything
","Best sound and comfortable for ears .
",5,JBL T205BT
"Worthy for its price.....Must buy
","When i was looking for an ear phone with call facility, every one was suggesting samsung and other brands. At max they suggested to go for sony.I had an experience of Sennheiser CX 180 and they were far better for listening training video than Creative ep 630.I thought to give it a try and luckily i was successful. These ear phones are made to listen voice calls and perfect in listening music as well.Guess what after me, two of my friends also bought the same ear phone for them.Truly worthy for their features and their price, oops i forgot  - you get two years warranty replacement
",5,Sennheiser CX 6.0BT
"for money its worthy
","1.good build and audio quality2.good battery and stability3.need to improve Bluetooth distance and music forward and backward is not available
",4,boAt Rockerz 255
"Product
","Fully satisfied with the product
",4,boAt Rockerz 255
"Feeling guilty to buy this as it doesn't have good sound quality and.......
","The sound is not good....needs much improvement and also the wires needed to be of much better quality. Feeling guilty to buy it....would have rather gone for JBLT60B wireless or Mi wireless sports earphone
",3,boAt Rockerz 255
"I doubt it will last long?
","Writing a review after 5 months of usage!It's a very good headphones!I was looking for some good headphones which I can use while riding my bike, and these were perfect!But the reason I gave three stars is that recently it is charging in half the time it was before and not even lasting half an hour!JBL I need a replacement!
",3,JBL T110BT
"Unfaithful
","Worst wireless earphones to take, its one side broke after 5 month and stopped working
",2,JBL T110BT
"Performance , only short lived.
","If I would have written a review in the initial days of usage of these earphones, it would have been an amazing review of the product. But after 6 months of usage, I observed a volume difference between the two ear buds. This is something that is damaging for the ear. No one would recommend using such a product. Sennheiser should really look into the product's performance in longer term(more than 6 months). If the product is not able to deliver as promised after 6 months, then it should be mentioned in the product's description.
",1,Sennheiser CX 6.0BT
"Not Worthy for this Amount
","Not worthy for this amount
",3,PTron Intunes
"Must buy if u need Bluetooth n u r audiophile who prefers balance sound
","I don't understand what there reviews r for either the song u all listen to are of bad bit rate or u just dunno what to expect. I'm coming from using bose jbl n all n trust me as far as Bluetooth codec goes for non Samsung phone it uses sbc which is still good u just won't get the extra teeny beeny stuff like dolby n all if u have in ur lappy or phone but for Samsung phones u can enjoy their own codec which r good sbc people say its bad coz low cost devices use it but u can check the net n research urself its really capable codec just give it the hardware to run it and for other devices that that says they use aptx well they do but their speaker can't even deliver what's the point in having aptx . But still the sound quality is excellent nothing to complain for 3k the kids high n lows r all balanced n superb everything is clear for all who want bass like the Sony xb series not for u these arnt made to enhance bass but its there definitely n plays only when it needs to n i like that not making every little thing bassy is not good for the song too. Battery life is good too I use with high volume ( coz u like it loud) at 100 n boy I got 8 hrs out of it which is normal coz companies usually advertise at 70 % volume. The mic is good too the person on the other end literally though I'm still using my bose soundlink 2 mic. Not sure what's with the other reviews but imma say just go for it it's worth every penny. Noise cancellation is passive noise cancellation u get 3 different size ear tips use the correct size n passive noise cancellation should work
",5,Samsung EO-BG950CBEIN
"Screechy Sound
","Don’t buy... consider Apple or jbl
",2,Sennheiser CX 6.0BT
"It is really good. I like the bass effect and don't like ...
","It is really good.I like the bass effect and don't like the quality of wire,feels like so light and get damage soon.The brand shows its quality in the music.I used Philips,skull candy and JBL,didn't get the Effect which Sennheiser gave.
",4,Sennheiser CX 6.0BT
"Worth for 1100.
","Worth Buy for 1100 but not more than that.For listening songs it is good.but for calls in traffic and out of home,it is not suggested.Battery life is good.
",3,boAt Rockerz 255
"Sound Quality is good but No warranty Support
","Product malfunction within 1 year of purchase
",2,boAt Rockerz 255
"sound quailty
","sound quality is very bad
",1,JBL T205BT
"If your budget is under 1200 then go for it..
","Its been a month now... First of all its a neckband wireless in the ear headphone.. The sound is more like boat basshead 255..i have used 255 earlier.. Battery backup is probably 5-6 hours.. i got it in sale at 990.. And at this cost Its worth it...
",4,boAt Rockerz 255
"dead in 8 months
","the product just died on me... stopped charging randomly, and does not work now..... poor quality... not expected of a JBL
",1,JBL T110BT
"Good Product
","This is very good product of this range. Its been more than 1 year and it is still in very good condition. excellent product
",5,Sennheiser CX 6.0BT
"Five Stars
","no need to say any thing , its name is enough
",5,Sennheiser CX 6.0BT
"Worst Product
","Worst Product
",1,Flybot Wave
"THE BEST.
","Can't switch to any other earphone once you use this.
",5,Sennheiser CX 6.0BT
"Not worth
","Outside soundAnd doesn’t work on phone call
",1,JBL T205BT
"Three Stars
","Ok
",3,Sennheiser CX 6.0BT
"Battery Issue
","After two weeks, it is not connecting with Phone eventhough battery is charged fully. Faulty product, don't buy.
",1,boAt Rockerz 255
"Nothing special.
","Nothing special if only you want to use mic then go for it good if you really want to it used for for listening music then don't go for these earphones that is distort while using with equaliser or at high volume better go for XB55 or XB75 Sony earphones which i purchased one month after this one. I think I have used XB350 earphones of Sony earlier for 2 years that is why I was not satisfied but the thing is that the build quality of these Sennheiser earphones is not good and also have distortion. Go for Sony XB55 if you really want great sound blindly.Pic attached, one side sienhieser and one side Sony xb75ap.
",3,Sennheiser CX 6.0BT
"amazing sound quality and fastest delivery by cloudtail
","Cloudtail excellent service about the sound quality of product amazing marvelous thumbs up to the cloudtail and speechless for sennheiser CX 275s .
",5,Sennheiser CX 6.0BT
"Superb audio quality, Durability the only problem.
","Superb audio quality. Only problem is on the durability front. The wire is too thin.
",4,Sennheiser CX 6.0BT
"Worst earphones stopped working after a month
","Stopped working after 1 month
",1,boAt Rockerz 255
"need a replacement as still under warranty!
","I have purchase this product on 27-09-2017, it worked wonderfully for a year and now (today 13-12-2018) from last few weeks one side, the left with the mic is not working.This product is good. Request for a replacement as it is still under warranty.
",4,Sennheiser CX 6.0BT
"Excellent
","Good
",5,JBL T205BT
"Seller should replace the product immediately if you really want customers to be satisfied
","Within two months Mice is not working and battery life horrible and not even 40 minutes
",1,boAt Rockerz 255
"Recommended but costly
","Good quality but 1 side stops working after sometime. 2 year warranty with replacement is good.
",4,Sennheiser CX 6.0BT
"Sound quality
","I like the sound quality of this product. i hv been using this for last ten days and i must say that battery life of this one is not that good. overall nice product. it is value for money.
",3,boAt Rockerz 255
"It is slightly better than 1more piston fit which is half in price
","I was expecting more from this one specially after watching so many reviewers praising this product but i was just ok
",3,Sennheiser CX 6.0BT
"Worse experience
","Worse don't buy it, connectivity issue, gets disconnected at any time
",1,JBL T110BT
"Bang for your Bucks
","Really good product for it's price at 1k i wish they should provide with a carry case..
",4,boAt Rockerz 255
"Product damaged.
","Got a different earphones. Defective and damaged. What's happening?
",1,Sennheiser CX 6.0BT
"Value for money !!
","Design  - 8/10Sound  - 9/10Battery life - 8/10Delivery  -10/10
",4,JBL T205BT
"Normal earphones nothing special !
","Umm.what can I say...its ok earphones. And over rated. Sounds ok like any other headphones. Overall ok but too much costly. The extra cord doesn't work properly. Strange.
",3,Sennheiser CX 6.0BT
"Good Bass & Battery, doesn’t fit properly Pain in ear after 15-20 mins
","But you can’t wear it while jogging and any other exercise it keeps falling, you can’t use it not more than an hour your ears start paining because of it’s metallic earplugs design.it’s ergonomic like Apple EarPods but couldn’t fit well.Rest the sound quality is very good, bass is perfect, battery is good. Lost 3 star just because of pain in ear
",2,JBL T205BT
"Good products
","Sometimes it disconnected automatically while playing it for a long time.
",4,boAt Rockerz 255
"Good
","Good
",5,boAt Rockerz 255
"Good but not as adequate
","Not as much sound is good but not adequate according to price and brand name only
",2,boAt Rockerz 255
"I like this product nd i recommend this product
","Worth buying this.. Battery life is very good.Sound quality is also goodBuild quality is also good
",4,boAt Rockerz 255
"It's suprb....
","No chance full mark....I love it...
",5,Sennheiser CX 6.0BT
"Bluetooth issue
","Bluetooth acts weirdly while put in pocket.
",4,boAt Rockerz 255
"6/10
","The sound quality is good. Treble is awesome, but little disappointed with the bass. Voice clarity and mic is really good.But i would recommend everyone to buy CX street 180 if they are no looking for an earphone with mic.Overall: 6/10
",3,Sennheiser CX 6.0BT
"The Worst Earphones Ever
","First of all,, This review is about Boat Rockerz 255 Bluetooth earphone. Generally , I don't have the habit of writing product reviews but this s*** earphones made me review this in order to save the other consumers who are planning to buy this CRAP. In my opinion ,,Firstly , An earphone should be comfortable to wear. In this regard,, it makes you to cry in pain even after 5 minutes of usage !! Secondly , it should have a good audio Quality !! It's just okayish when it comes to sound quality, Nothing great to talk about it. Overall, Never buy this earphone even if they give it for free unless if you wanna hurt your ears with this abysmal earphones.
",1,boAt Rockerz 255
"Clean And Perfect Sound
","Clean and perfect sound quality. it's built quality is nice and durable. it's worth the price that it costs.
",4,Sennheiser CX 6.0BT
"Lasted only 21 days!!!
","Wow amazing, i wished i had not fallen for the trap and bought a normal wired set.21 is day into daily 6 hours of listening and now they wont charge or power on, guess its a long queue of unwelcoming support folks if any!!! hope this helps your decision future buyers!!!gl
",1,JBL T205BT
"Best sound quality
","Sound quality is best all thing is bestBut ear buds not  comfortable in ears after if you are using continuously  1 or 2 hour the ears got pained
",5,JBL T205BT
"Not waste your money
","This is only so so product only .
",2,Sennheiser CX 6.0BT
"Awesome Product
","Awesome headphones the product is worth it..
",5,Skullcandy S2PGHW-174
"LOW SOUND PROBLEM
","Very low volume..so practically no use at all.
",2,boAt Rockerz 255
"Best
","Good quality
",5,JBL T110BT
"Don't buy it..
","Literally no Base...
",2,Sennheiser CX 6.0BT
"6999 is not worthy for this product
","Not worth
",2,Sennheiser CX 6.0BT
"Remote Doesn't work with Iphone
","Received a faulty one but was replaced the next day. But the remote does not work with iphone. Neither for play/pause nor for receiving calls. Had no patience to try another one returned the product.
",1,Sennheiser CX 6.0BT
"Blue tooth can't connected
","Not working very bad condition
",1,JBL T110BT
"Value for money
","Overall, amazing earphones by Boat. Was skeptical at first, but I have now owned it for 2 months. Happy about it.My only issue would be the part around the neck. Gets uncomfortable and irritating in humid climates.
",4,boAt Rockerz 255
"Poor quality
","Mine broke in 3 months only. Quality is not upto the mark.
",3,JBL T110BT
"cx180 is much better than thi in soun quaity
","cx180 is much better than thi in soun quaity, the only additional thig is mic..so i am not staisfied ith bass low soun quality
",3,Sennheiser CX 6.0BT
"Waste product
","There is the issue with the product the speaker is not working not able to talk to other person using the earphone it's waste of money . Kindly your product back and refund my money back
",1,Sennheiser CX 6.0BT
"sound is awesome clear , clear bass,clear vocal , but build quality is like cheaper.
","i used boat ,jbl,1more,mibasic ,also sound magic, and house of marly , all are around 500 to 1500 price segment,in sound and clarity also base and vocal ,mic clarity, best one is this product cx 275 is best ever in this price with mic,CON: ONE BUILD QUALITY SEEMS LIKE LOCAL CHEAPER EARPHONE ABOUT 200 TO 300 RS AROUNDCON: TWO 3.5 MM JACK IS NOT 90 DEGREE L SHAPED, IT IS STRAIT SO IT POSSIBLE TO DAMAGE JACK IN POCKET.OTHER WISE BEST SOUND IN THIS PRICE SEGMENT EVER I HEARD ACROSS ALL BRAND I MENTION ABOVE.I PREFER TO BUY BUT IF POSSIBLE USE 90 DEGREE L-SHAPE 3.5MM JACK ADAPTER AND USE WITH CARE
",4,Sennheiser CX 6.0BT
"Awesome
","Bought at ₹1099 that was a steal. Awesome sound quality. Bass is really good. Don't think just get it.
",5,boAt Rockerz 255
"Two Stars
","Very poor build quality. Had to return it. But Amazon's service was amazing! :)
",2,Sennheiser CX 6.0BT
"Replacement under one year warranty
","I need replacement of this product because left side speaker is not working. This product was delivered to me on 22 Jan 2019.
",3,boAt Rockerz 255
"Clarity of sound is very good but bass not up to mark
","Clarity of sound is very good but bass not up to mark , if you are looking for bass than don't buy . If you are looking clear sound then must buy
",5,Sennheiser CX 6.0BT
"Not for those who knows about clear hd audio
","Sound quality is not good, volume is high but clarity is low.
",2,boAt Rockerz 255
"Good package at this price !
","Sound quality is not mind-blowing but is fairly accurate as per price. Battery life is more than what I had expected normal backup at mid volume ranged for about 5-6 hours. For this price range, it is the best package !
",4,boAt Rockerz 255
"Sounds good
","Nice!!!!
",3,JBL T110BT
".
","Its build is such that it also provides passive noise cancelling to some extent.
",5,Sennheiser CX 6.0BT
"Good sound and comfort.
","This works great and the sound is really good! The earbud tips are available in three size and you can choose the one that fits perfectly for best comfort.
",4,Sennheiser CX 6.0BT
"Just SO SO
","THANK GOD I BOUGHT IT WITH JUST RS 999........ otherwise I would have slapped myself
",3,boAt Rockerz 255
"Serves the purpose
","Sound is amazing , build quality is good,But the range is pretty less. If you leave your phone in the other room, connectivity is gone .Otherwise all is good , Worth the money spent.
",4,boAt Rockerz 255
"Not working
","not completed 6months already it is not working left hand side,there is no service centre available in bengaluru ,what will be the solution
",2,boAt Rockerz 255
"Not working properly right side one is not working
","Very poor in durability just purchased 3 months ago now not working properly
",2,boAt Rockerz 255
"Very very bad 😞😞😞😥😥😥 mic is not working
","Very very bad quality of yer phone
",2,JBL T110BT
"Best under this price range.
","Everything is fine but for the mic. will have to speak louder or keep the mic near to your mouth.battery backup is good. Bass is amazing.
",4,boAt Rockerz 255
"Mick not working properly
","Average quality
",1,JBL T110BT
"Good
","M happy with the product
",4,Sennheiser CX 6.0BT
"Don't buy this product wast of money
","Don't buy this product, go for Samsung level  u or Samsung u flex
",1,JBL T110BT
"Good quality
","Quality product
",5,Sennheiser CX 6.0BT
"Value for money
","Audio quality is good. Bass is too high. Also if I wear it for more than 3 hours my head starts paining
",4,boAt Rockerz 255
"Fine Earphones- OK OK
","Decent bass quality not the best like Sony. Battery excellent. Bluetooth connectivity fine. Overall all OK for price in segment
",3,boAt Rockerz 255
"Wow
","Earphone is good but sound is quite (little bit) slow. Allover this is the best and good earphone in this prise.
",5,boAt Rockerz 255
"I want a replacement
","The product is heating up.. battery life is very poor. The product gets heated up while using..
",2,boAt Rockerz 255
"Good
","Good product at this price
",5,boAt Rockerz 255
"Don't buy
","Material is good but sound quality is really bad i am really a big fan of service and product by using cx 180 but this disappointed me
",1,Sennheiser CX 6.0BT
"Battery backup.
","Very low battery backup.
",2,boAt Rockerz 255
"Avoid buying
","Thw stopped working within 10 days of purchase. It won't start or power on.
",1,JBL T205BT
"Not worth the money
","For 1500 rs it's a no deal,  BT range is merely 10 feet,  without obstruction.  Battery life is around 3 hrs.  Below average.
",2,boAt Rockerz 255
"Sound not good
","Sound quality is really bad. My  Samsung earphones sound better.Connectivity also not so good.
",3,boAt Rockerz 255
"Nice
","Good brand
",4,boAt Rockerz 255
"Decent one for the price
","Quite durable and customizeable. Sound quality is okiesh.
",5,boAt Rockerz 255
"Plastic shell painful for ears after 20-30 min
","All over it is fine in case of sound but after 20-30 min ear start paining because of its outer plastic shell. I got delivery of the product after 2 months till date when i ordered it.
",2,boAt Rockerz 255
